Region ID,Region name (English),Subregion ID,Latitude,Longitude,Japanese name,English name,German name,French name,Spanish name,Italian name,Dutch name
1,Japan,1,0,0,日本,Japan,Japan,Japon,Japón,Giappone,Japan
,,2,35.687,139.765,東京都,Tokyo,Tokio,Tokyo,Tokio,Tokyo,Tokio
,,3,43.058,141.332,北海道,Hokkaido,Hokkaido,Hokkaido,Hokaido,Hokkaido,Hokkaido
,,4,40.818,140.772,青森県,Aomori,Aomori,Aomori,Aomori,Aomori,Aomori
,,5,39.695,141.168,岩手県,Iwate,Iwate,Iwate,Iwate,Iwate,Iwate
,,6,38.258,140.9,宮城県,Miyagi,Miyagi,Miyagi,Miyagi,Miyagi,Miyagi
,,7,39.715,140.103,秋田県,Akita,Akita,Akita,Akita,Akita,Akita
,,8,38.253,140.348,山形県,Yamagata,Yamagata,Yamagata,Yamagata,Yamagata,Yamagata
,,9,37.757,140.475,福島県,Fukushima,Fukushima,Fukushima,Fukushima,Fukushima,Fukushima
,,10,36.378,140.472,茨城県,Ibaraki,Ibaraki,Ibaraki,Ibaraki,Ibaraki,Ibaraki
,,11,36.547,139.872,栃木県,Tochigi,Tochigi,Tochigi,Tochigi,Tochigi,Tochigi
,,12,36.402,139.065,群馬県,Gunma,Gunma,Gunma,Gunma,Gunma,Gunma
,,13,35.873,139.59,埼玉県,Saitama,Saitama,Saitama,Saitama,Saitama,Saitama
,,14,35.6,140.107,千葉県,Chiba,Chiba,Chiba,Chiba,Chiba,Chiba
,,15,35.437,139.657,神奈川県,Kanagawa,Kanagawa,Kanagawa,Kanagawa,Kanagawa,Kanagawa
,,16,36.707,137.205,富山県,Toyama,Toyama,Toyama,Toyama,Toyama,Toyama
,,17,36.587,136.637,石川県,Ishikawa,Ishikawa,Ishikawa,Ishikawa,Ishikawa,Ishikawa
,,18,36.053,136.227,福井県,Fukui,Fukui,Fukui,Fukui,Fukui,Fukui
,,19,35.665,138.557,山梨県,Yamanashi,Yamanashi,Yamanashi,Yamanashi,Yamanashi,Yamanashi
